0	0	0	0	0	0
-30	-30	-30	-5	-5	-5
0	0	0	0	0	0
-30	-30	-30	-5	-5	5
0	0	0	0	0	0
-30	-30	-30	-5	5	-5
0	0	0	0	0	0
-30	-30	-30	-5	5	5
0	0	0	0	0	0
-30	-30	-30	5	-5	-5
0	0	0	0	0	0
-30	-30	-30	5	-5	5
0	0	0	0	0	0
-30	-30	-30	5	5	-5
0	0	0	0	0	0
-30	-30	-30	5	5	5
0	0	0	0	0	0
-30	-30	30	-5	-5	-5
0	0	0	0	0	0
-30	-30	30	-5	-5	5
0	0	0	0	0	0
-30	-30	30	-5	5	-5
0	0	0	0	0	0
-30	-30	30	-5	5	5
0	0	0	0	0	0
-30	-30	30	5	-5	-5
0	0	0	0	0	0
-30	-30	30	5	-5	5
0	0	0	0	0	0
-30	-30	30	5	5	-5
0	0	0	0	0	0
-30	-30	30	5	5	5
0	0	0	0	0	0
-30	30	-30	-5	-5	-5
0	0	0	0	0	0
-30	30	-30	-5	-5	5
0	0	0	0	0	0
-30	30	-30	-5	5	-5
0	0	0	0	0	0
-30	30	-30	-5	5	5
0	0	0	0	0	0
-30	30	-30	5	-5	-5
0	0	0	0	0	0
-30	30	-30	5	-5	5
0	0	0	0	0	0
-30	30	-30	5	5	-5
0	0	0	0	0	0
-30	30	-30	5	5	5
0	0	0	0	0	0
-30	30	30	-5	-5	-5
0	0	0	0	0	0
-30	30	30	-5	-5	5
0	0	0	0	0	0
-30	30	30	-5	5	-5
0	0	0	0	0	0
-30	30	30	-5	5	5
0	0	0	0	0	0
-30	30	30	5	-5	-5
0	0	0	0	0	0
-30	30	30	5	-5	5
0	0	0	0	0	0
-30	30	30	5	5	-5
0	0	0	0	0	0
-30	30	30	5	5	5
0	0	0	0	0	0
30	-30	-30	-5	-5	-5
0	0	0	0	0	0
30	-30	-30	-5	-5	5
0	0	0	0	0	0
30	-30	-30	-5	5	-5
0	0	0	0	0	0
30	-30	-30	-5	5	5
0	0	0	0	0	0
30	-30	-30	5	-5	-5
0	0	0	0	0	0
30	-30	-30	5	-5	5
0	0	0	0	0	0
30	-30	-30	5	5	-5
0	0	0	0	0	0
30	-30	-30	5	5	5
0	0	0	0	0	0
30	-30	30	-5	-5	-5
0	0	0	0	0	0
30	-30	30	-5	-5	5
0	0	0	0	0	0
30	-30	30	-5	5	-5
0	0	0	0	0	0
30	-30	30	-5	5	5
0	0	0	0	0	0
30	-30	30	5	-5	-5
0	0	0	0	0	0
30	-30	30	5	-5	5
0	0	0	0	0	0
30	-30	30	5	5	-5
0	0	0	0	0	0
30	-30	30	5	5	5
0	0	0	0	0	0
30	30	-30	-5	-5	-5
0	0	0	0	0	0
30	30	-30	-5	-5	5
0	0	0	0	0	0
30	30	-30	-5	5	-5
0	0	0	0	0	0
30	30	-30	-5	5	5
0	0	0	0	0	0
30	30	-30	5	-5	-5
0	0	0	0	0	0
30	30	-30	5	-5	5
0	0	0	0	0	0
30	30	-30	5	5	-5
0	0	0	0	0	0
30	30	-30	5	5	5
0	0	0	0	0	0
30	30	30	-5	-5	-5
0	0	0	0	0	0
30	30	30	-5	-5	5
0	0	0	0	0	0
30	30	30	-5	5	-5
0	0	0	0	0	0
30	30	30	-5	5	5
0	0	0	0	0	0
30	30	30	5	-5	-5
0	0	0	0	0	0
30	30	30	5	-5	5
0	0	0	0	0	0
30	30	30	5	5	-5
0	0	0	0	0	0
30	30	30	5	5	5
