NodeName,TCP_x,TCP_y,TCP_z,TCP_Rx,TCP_Ry,TCP_Rz,FLANGE_x,FLANGE_y,FLANGE_z,RowDataSensor0,RowDataSensor1,RowDataSensor2,RowDataSensor3,RowDataSensor4,RowDataSensor5,SPI0-0,SPI0-1,SPI0-2,SPI0-3,SPI0-4,SPI0-5,SPI0-6,SPI0-7,SPI1-0,SPI1-1,SPI1-2,SPI1-3,SPI1-4,SPI1-5,SPI1-6,SPI1-7,
Start,0.0919432,-0.454728,0.264917,0.777571,-0.00448461,0.484535,0.190896,-0.480701,0.387488,-38.6036,-6.15925,-9.30625,0.0927824,-1.69674,-0.0197025,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.091947,-0.45472,0.264903,0.777559,-0.00450701,0.484551,0.190894,-0.480698,0.38749,-39.0379,-6.73196,-9.38635,0.103712,-1.76254,-0.0325521,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919529,-0.454716,0.264892,0.777555,-0.00453721,0.48454,0.190892,-0.480696,0.387493,-37.7344,-6.1849,-10.1283,0.0894875,-1.83168,0.0576792,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919587,-0.45471,0.26488,0.777591,-0.00455093,0.484529,0.19089,-0.480695,0.387494,-35.4023,-5.20906,-11.2367,0.0709331,-1.76387,0.0466657,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919562,-0.4547,0.264874,0.777645,-0.00455419,0.484493,0.19089,-0.480694,0.387495,-33.5912,-4.74239,-11.4707,0.0551123,-1.70033,0.00919094,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919518,-0.45469,0.264876,0.777697,-0.00455935,0.484448,0.190889,-0.480693,0.387495,-31.8702,-4.18945,-11.2216,0.0562769,-1.68791,0.0275204,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919524,-0.454676,0.264877,0.77775,-0.0045625,0.484418,0.190889,-0.480694,0.387495,-31.8556,-4.33314,-9.48046,0.061819,-1.61467,0.0163248,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919577,-0.454663,0.264884,0.777778,-0.00456305,0.484401,0.19089,-0.480694,0.387494,-32.3146,-4.79637,-7.99484,0.0907373,-1.55783,0.036675,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919591,-0.454649,0.264891,0.777803,-0.00455335,0.484382,0.190891,-0.480695,0.387494,-32.9376,-4.68444,-7.25727,0.127476,-1.55125,0.0402875,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919648,-0.454637,0.2649,0.77781,-0.00454269,0.484374,0.190892,-0.480696,0.387492,-33.3466,-4.93338,-7.2754,0.0905204,-1.57975,0.0263205,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919712,-0.454628,0.264912,0.777808,-0.00453556,0.48436,0.190893,-0.480698,0.387491,-33.5002,-4.86517,-7.53817,0.0813786,-1.5691,-0.00155253,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919774,-0.45462,0.264924,0.777804,-0.00452059,0.484333,0.190895,-0.4807,0.387489,-33.0572,-5.53958,-7.48003,0.121525,-1.55663,0.0152905,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919774,-0.45462,0.264924,0.777804,-0.00452059,0.484333,0.190895,-0.4807,0.387489,-33.0572,-5.53958,-7.48003,0.121525,-1.55663,0.0152905,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919896,-0.454613,0.264955,0.777801,-0.00449428,0.48427,0.190899,-0.480704,0.387485,-32.5505,-5.84778,-7.06956,0.112211,-1.54345,0.000121188,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
