NodeName,TCP_x,TCP_y,TCP_z,TCP_Rx,TCP_Ry,TCP_Rz,FLANGE_x,FLANGE_y,FLANGE_z,RowDataSensor0,RowDataSensor1,RowDataSensor2,RowDataSensor3,RowDataSensor4,RowDataSensor5,SPI0-0,SPI0-1,SPI0-2,SPI0-3,SPI0-4,SPI0-5,SPI0-6,SPI0-7,SPI1-0,SPI1-1,SPI1-2,SPI1-3,SPI1-4,SPI1-5,SPI1-6,SPI1-7,
Start,0.091841,-0.45472,0.264993,0.777763,-0.00431434,0.481809,0.191005,-0.48084,0.387342,-32.0238,-4.89397,-10.2624,0.0820921,-1.4502,0.0526381,92,80,df,00,fa,0f,b8,62,dd,80,17,41,b7,0f,b8,b5,
Start,0.0918477,-0.454722,0.264988,0.777762,-0.00431641,0.48208,0.190993,-0.480827,0.387355,-32.2295,-5.1945,-10.2669,0.076724,-1.45706,0.0549374,92,80,df,00,fa,0f,b8,62,dd,80,17,41,b7,0f,b8,b5,
Start,0.0918522,-0.454723,0.264982,0.777757,-0.00432398,0.482339,0.190982,-0.480815,0.387366,-32.3375,-5.13743,-10.2303,0.0827397,-1.46343,0.0533828,92,80,df,00,fa,0f,b8,62,dd,80,17,41,b7,0f,b8,b5,
Start,0.0918582,-0.454727,0.264979,0.777745,-0.00433224,0.482602,0.190973,-0.480805,0.387376,-32.4023,-5.26561,-10.1444,0.0802134,-1.47003,0.0606185,92,80,de,00,fa,0f,ba,91,dd,80,17,41,b7,0f,ba,eb,
Start,0.0918602,-0.454728,0.264972,0.777737,-0.00434775,0.482829,0.190966,-0.480797,0.387384,-32.6926,-5.21375,-10.2105,0.0801819,-1.47078,0.0206477,91,80,dd,00,f9,0f,bb,47,dc,80,17,41,b7,0f,bb,30,
Start,0.0918625,-0.454727,0.264966,0.777707,-0.00436281,0.483008,0.190959,-0.48079,0.387391,-33.3693,-4.89345,-10.4648,0.0663802,-1.4857,-0.0351272,91,80,dd,00,fa,0f,bd,b7,dd,80,17,41,b6,0f,bd,28,
Start,0.0918733,-0.454729,0.264962,0.777655,-0.00439282,0.483148,0.190954,-0.480784,0.387396,-34.6454,-5.01486,-10.2064,0.0633639,-1.55316,-0.0106511,91,80,dd,00,fa,0f,be,c6,dd,80,16,41,b6,0f,be,f4,
Start,0.0918824,-0.454719,0.264944,0.777627,-0.00440536,0.483249,0.190949,-0.480779,0.387401,-36.3103,-5.30244,-10.2134,0.0838735,-1.61558,0.00437957,8f,80,de,00,f9,0f,80,b5,dd,80,17,41,b6,0f,80,31,
Start,0.0918981,-0.454705,0.264909,0.777592,-0.00445798,0.483328,0.190943,-0.480773,0.387408,-38.2502,-6.3009,-9.85591,0.114375,-1.78005,-0.00880013,91,80,de,00,f9,0f,81,4b,dd,80,17,41,b7,0f,81,10,
Start,0.0919038,-0.454702,0.264896,0.777589,-0.00449196,0.483321,0.190941,-0.480771,0.38741,-37.2494,-6.05546,-10.524,0.0991139,-1.82416,0.067399,91,80,de,00,f9,0f,81,4b,dd,80,17,41,b7,0f,81,10,
Start,0.0919069,-0.454696,0.264883,0.77763,-0.0045044,0.483315,0.19094,-0.480769,0.387411,-35.4608,-5.31219,-11.7535,0.0691087,-1.74859,0.0626294,91,80,de,00,f9,0f,81,4b,dd,80,17,41,b7,0f,81,10,
Start,0.0919073,-0.454688,0.264879,0.777676,-0.00451745,0.483291,0.190939,-0.480768,0.387412,-33.2386,-4.56629,-11.7095,0.0629823,-1.70503,0.00379194,91,80,de,00,f9,0f,81,4b,dd,80,17,41,b7,0f,81,10,
Start,0.091905,-0.454678,0.264881,0.777725,-0.00452363,0.483252,0.190939,-0.480768,0.387412,-31.8511,-4.29548,-11.3692,0.0613682,-1.70706,0.0306902,91,80,de,00,fa,0f,82,28,de,80,16,41,b8,0f,82,a5,
Start,0.0919065,-0.454666,0.264885,0.777763,-0.00453422,0.483223,0.190939,-0.480768,0.387412,-32.1556,-4.56226,-9.87667,0.0632652,-1.6306,0.0192126,90,80,dd,00,fa,0f,83,2b,dc,80,15,41,b6,0f,83,c1,
Start,0.0919084,-0.454652,0.264893,0.777794,-0.00453996,0.483201,0.19094,-0.480769,0.387412,-32.4328,-4.98895,-8.40196,0.0928565,-1.58237,0.0395698,8e,80,dc,00,f9,0f,85,a7,dc,80,16,41,b7,0f,85,f5,
Start,0.0919125,-0.454637,0.264899,0.777816,-0.00452959,0.483186,0.19094,-0.48077,0.387411,-32.9284,-5.07927,-7.6934,0.125854,-1.5694,0.0472368,8f,80,dd,00,f9,0f,86,8f,dd,80,17,41,b7,0f,86,dd,
Start,0.091919,-0.454624,0.264908,0.777824,-0.00451475,0.483179,0.190942,-0.480771,0.387409,-33.0226,-5.08104,-7.68796,0.0875041,-1.57347,0.0297512,8e,80,dd,00,fa,0f,88,dc,dd,80,17,41,b6,0f,88,66,
Start,0.0919222,-0.454614,0.26492,0.777827,-0.00449924,0.483163,0.190943,-0.480773,0.387408,-32.9717,-5.18897,-7.84898,0.0790196,-1.55777,0.00949156,8d,80,dc,00,f7,0f,89,2b,dd,80,16,41,b8,0f,89,b0,
Start,0.0919268,-0.454606,0.264933,0.777826,-0.00448434,0.483135,0.190945,-0.480774,0.387406,-32.6197,-5.88429,-7.59741,0.119426,-1.55385,0.0191599,8d,80,dc,00,fa,0f,8a,1c,dc,80,16,41,b8,0f,8a,35,
Start,0.0919314,-0.454602,0.264949,0.777824,-0.00446694,0.483107,0.190947,-0.480776,0.387404,-32.1757,-6.22431,-7.38741,0.138064,-1.54144,0.0230759,8d,80,dc,00,fa,0f,8a,1c,dc,80,16,41,b8,0f,8a,35,
