NodeName,TCP_x,TCP_y,TCP_z,TCP_Rx,TCP_Ry,TCP_Rz,FLANGE_x,FLANGE_y,FLANGE_z,RowDataSensor0,RowDataSensor1,RowDataSensor2,RowDataSensor3,RowDataSensor4,RowDataSensor5,SPI0-0,SPI0-1,SPI0-2,SPI0-3,SPI0-4,SPI0-5,SPI0-6,SPI0-7,SPI1-0,SPI1-1,SPI1-2,SPI1-3,SPI1-4,SPI1-5,SPI1-6,SPI1-7,
Start,458.102,-71.1434,226.635,0.0187794,0.867922,1.27113,488.758,-211.884,346.298,-32.717,-5.0195,6.62386,0.183332,-1.40701,-0.0514429,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,458.101,-71.1445,226.633,0.0187871,0.86792,1.27086,488.736,-211.867,346.324,-32.6962,-5.02345,6.72403,0.181286,-1.40679,-0.0587098,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,458.097,-71.1473,226.629,0.0187857,0.867932,1.2706,488.718,-211.853,346.346,-32.6108,-4.98922,6.83045,0.179818,-1.40696,-0.0590858,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,458.096,-71.1488,226.628,0.0187981,0.867934,1.27034,488.702,-211.84,346.365,-32.3398,-5.00217,6.62412,0.177861,-1.41161,-0.0563752,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,458.093,-71.1506,226.627,0.0187928,0.867944,1.27009,488.688,-211.829,346.382,-32.3427,-5.07181,6.56221,0.17805,-1.40121,-0.0584056,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,458.092,-71.1536,226.626,0.0188019,0.867949,1.26982,488.676,-211.82,346.397,-32.2764,-4.95798,6.80645,0.18466,-1.39912,-0.055486,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,458.093,-71.1601,226.623,0.0188069,0.867944,1.26957,488.666,-211.812,346.409,-32.2483,-4.9154,6.89663,0.185083,-1.40934,-0.0386146,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,458.093,-71.1601,226.623,0.0188069,0.867944,1.26957,488.666,-211.812,346.409,-32.2483,-4.9154,6.89663,0.185083,-1.40934,-0.0386146,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,458.095,-71.1532,226.613,0.0188053,0.867855,1.26905,488.644,-211.796,346.435,-36.1717,-5.17614,7.56344,0.168587,-1.45039,-0.0473471,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,458.095,-71.1532,226.613,0.0188053,0.867855,1.26905,488.644,-211.796,346.435,-36.1717,-5.17614,7.56344,0.168587,-1.45039,-0.0473471,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,458.096,-71.1605,226.612,0.0188229,0.867797,1.26886,488.636,-211.789,346.445,-39.465,-5.8594,9.71332,0.171371,-1.71319,-0.0214202,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,458.085,-71.1637,226.614,0.0188309,0.867796,1.26882,488.633,-211.787,346.448,-39.7871,-6.08387,11.1179,0.170048,-1.82437,0.0336305,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,458.085,-71.1637,226.614,0.0188309,0.867796,1.26882,488.633,-211.787,346.448,-39.7871,-6.08387,11.1179,0.170048,-1.82437,0.0336305,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,458.085,-71.1637,226.614,0.0188309,0.867796,1.26882,488.633,-211.787,346.448,-39.7871,-6.08387,11.1179,0.170048,-1.82437,0.0336305,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,458.022,-71.1565,226.665,0.0187587,0.867789,1.26891,488.63,-211.785,346.452,-34.2194,-7.28641,8.41854,0.219934,-1.52363,-0.110348,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,457.991,-71.144,226.697,0.0186798,0.867802,1.26903,488.63,-211.785,346.452,-31.473,-7.81778,8.56233,0.248286,-1.41904,-0.0816712,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,457.991,-71.144,226.697,0.0186798,0.867802,1.26903,488.63,-211.785,346.452,-31.473,-7.81778,8.56233,0.248286,-1.41904,-0.0816712,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,457.933,-71.1221,226.779,0.0184086,0.867828,1.26944,488.632,-211.786,346.449,-28.1273,-8.71645,10.1302,0.257355,-1.43515,-0.0214181,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
