NodeName,TCP_x,TCP_y,TCP_z,TCP_Rx,TCP_Ry,TCP_Rz,FLANGE_x,FLANGE_y,FLANGE_z,RowDataSensor0,RowDataSensor1,RowDataSensor2,RowDataSensor3,RowDataSensor4,RowDataSensor5,SPI0-0,SPI0-1,SPI0-2,SPI0-3,SPI0-4,SPI0-5,SPI0-6,SPI0-7,SPI1-0,SPI1-1,SPI1-2,SPI1-3,SPI1-4,SPI1-5,SPI1-6,SPI1-7,
Start,464.393,71.8528,223.457,3.13667,2.46077,-1.35049,482.949,212.702,345.847,-28.8261,0.372802,7.79034,0.30368,-1.43867,0.0303416,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.393,71.8528,223.457,3.13667,2.46077,-1.35049,482.949,212.702,345.847,-28.8261,0.372802,7.79034,0.30368,-1.43867,0.0303416,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.321,71.8652,223.503,3.13677,2.4607,-1.35066,482.951,212.703,345.846,-25.9507,1.32221,7.94071,0.247123,-1.30498,0.0143412,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.321,71.8652,223.503,3.13677,2.4607,-1.35066,482.951,212.703,345.846,-25.9507,1.32221,7.94071,0.247123,-1.30498,0.0143412,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.233,71.8867,223.581,3.13704,2.4606,-1.35111,482.957,212.706,345.841,-24.9928,1.05753,9.06814,0.306488,-1.4015,0.00249861,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.233,71.8867,223.581,3.13704,2.4606,-1.35111,482.957,212.706,345.841,-24.9928,1.05753,9.06814,0.306488,-1.4015,0.00249861,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.233,71.8867,223.581,3.13704,2.4606,-1.35111,482.957,212.706,345.841,-24.9928,1.05753,9.06814,0.306488,-1.4015,0.00249861,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.233,71.8867,223.581,3.13704,2.4606,-1.35111,482.957,212.706,345.841,-24.9928,1.05753,9.06814,0.306488,-1.4015,0.00249861,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.233,71.8867,223.581,3.13704,2.4606,-1.35111,482.957,212.706,345.841,-24.9928,1.05753,9.06814,0.306488,-1.4015,0.00249861,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.233,71.8867,223.581,3.13704,2.4606,-1.35111,482.957,212.706,345.841,-24.9928,1.05753,9.06814,0.306488,-1.4015,0.00249861,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.233,71.8867,223.581,3.13704,2.4606,-1.35111,482.957,212.706,345.841,-24.9928,1.05753,9.06814,0.306488,-1.4015,0.00249861,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.233,71.8867,223.581,3.13704,2.4606,-1.35111,482.957,212.706,345.841,-24.9928,1.05753,9.06814,0.306488,-1.4015,0.00249861,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.233,71.8867,223.581,3.13704,2.4606,-1.35111,482.957,212.706,345.841,-24.9928,1.05753,9.06814,0.306488,-1.4015,0.00249861,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.233,71.8867,223.581,3.13704,2.4606,-1.35111,482.957,212.706,345.841,-24.9928,1.05753,9.06814,0.306488,-1.4015,0.00249861,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
