NodeName,TCP_x,TCP_y,TCP_z,TCP_Rx,TCP_Ry,TCP_Rz,FLANGE_x,FLANGE_y,FLANGE_z,RowDataSensor0,RowDataSensor1,RowDataSensor2,RowDataSensor3,RowDataSensor4,RowDataSensor5,SPI0-0,SPI0-1,SPI0-2,SPI0-3,SPI0-4,SPI0-5,SPI0-6,SPI0-7,SPI1-0,SPI1-1,SPI1-2,SPI1-3,SPI1-4,SPI1-5,SPI1-6,SPI1-7,
Start,464.524,71.8114,223.499,3.13641,2.46082,-1.35213,483.039,212.747,345.755,-31.6734,-2.47055,5.49046,0.366581,-1.34617,0.0449961,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.524,71.8114,223.499,3.13641,2.46082,-1.35213,483.039,212.747,345.755,-31.6734,-2.47055,5.49046,0.366581,-1.34617,0.0449961,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.528,71.822,223.48,3.13642,2.46081,-1.35164,483,212.726,345.786,-31.9293,-2.48403,5.76862,0.356798,-1.37496,0.0393308,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.527,71.8257,223.472,3.13643,2.4608,-1.3514,482.984,212.717,345.799,-32.0022,-2.48221,5.89438,0.361134,-1.38234,0.0380348,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.527,71.8302,223.464,3.13644,2.4608,-1.35118,482.971,212.709,345.81,-32.0973,-2.41121,5.96186,0.368237,-1.37631,0.039611,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.527,71.8302,223.464,3.13644,2.4608,-1.35118,482.971,212.709,345.81,-32.0973,-2.41121,5.96186,0.368237,-1.37631,0.039611,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.526,71.8339,223.448,3.13648,2.4608,-1.35078,482.949,212.697,345.828,-32.2947,-2.16176,6.11387,0.355642,-1.38642,0.0385976,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.523,71.8366,223.443,3.13648,2.46081,-1.35061,482.941,212.692,345.835,-32.6185,-2.08842,6.00089,0.341334,-1.39394,0.0127037,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.514,71.8433,223.433,3.13648,2.46081,-1.35045,482.934,212.688,345.841,-33.3318,-2.14523,6.00191,0.331637,-1.40691,0.0133783,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,464.514,71.8433,223.433,3.13648,2.46081,-1.35045,482.934,212.688,345.841,-33.3318,-2.14523,6.00191,0.331637,-1.40691,0.0133783,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
