NodeName,Index,TCP_x,TCP_y,TCP_z,TCP_Rx,TCP_Ry,TCP_Rz,FLANGE_x,FLANGE_y,FLANGE_z,FLANGE_Rx,FLANGE_Ry,FLANGR_Rz,RawDataSensor0,RawDataSensor1,RawDataSensor2,RawDataSensor3,RawDataSensor4,RawDataSensor5,SPI0-0,SPI0-1,SPI0-2,SPI0-3,SPI0-4,SPI0-5,SPI0-6,SPI0-7,SPI1-0,SPI1-1,SPI1-2,SPI1-3,SPI1-4,SPI1-5,SPI1-6,SPI1-7,
LEVER2_05_01,15780,457.614,71.8425,223.06,0.00175668,0.777354,1.58253,151.11832,30.033371,108.293335,61.688225,-8.881184,11.9932,-10.4496,-1.60606,3.96431,0.0877216,-0.193654,-0.0404836,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER2_05_01,15781,457.592,71.8334,223.035,0.00182516,0.777401,1.58318,151.09702,30.143816,108.293884,61.71702,-8.867072,11.966793,-10.6781,-0.385324,-0.0822897,0.0337587,-0.109127,-0.017152,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER2_05_01,15782,457.592,71.8334,223.035,0.00182516,0.777401,1.58318,151.09702,30.143816,108.293884,61.71702,-8.867072,11.966793,-10.6781,-0.385324,-0.0822897,0.0337587,-0.109127,-0.017152,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER2_05_01,15783,457.583,71.8378,223.016,0.00184317,0.777426,1.58365,151.08247,30.216743,108.29354,61.735935,-8.858071,11.948809,-9.48722,0.742462,1.8626,0.0512948,-0.121682,-0.0411942,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER2_05_01,15784,457.576,71.8362,223.01,0.00186678,0.777438,1.58387,151.07571,30.253555,108.293724,61.745728,-8.8533535,11.939993,-10.3147,-0.861561,-0.929661,0.0488227,-0.134394,-0.0215337,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER2_05_01,15785,457.576,71.8362,223.01,0.00186678,0.777438,1.58387,151.07571,30.253555,108.293724,61.745728,-8.8533535,11.939993,-10.3147,-0.861561,-0.929661,0.0488227,-0.134394,-0.0215337,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER2_05_01,15786,457.566,71.8419,223.002,0.00189073,0.777452,1.58435,151.06119,30.327898,108.29339,61.765217,-8.844353,11.9220085,-10.512,-0.459539,4.27169,0.0538063,-0.148998,-0.0323615,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER2_05_01,15787,457.561,71.8443,222.998,0.0018992,0.777459,1.58459,151.05441,30.364712,108.29357,61.774433,-8.839636,11.913194,-11.4097,-0.725058,0.872731,0.0252712,-0.129636,-0.0281044,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER2_05_01,15788,457.561,71.8443,222.998,0.0018992,0.777459,1.58459,151.05441,30.364712,108.29357,61.774433,-8.839636,11.913194,-11.4097,-0.725058,0.872731,0.0252712,-0.129636,-0.0281044,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER2_05_01,15789,457.561,71.8412,222.989,0.00192261,0.777463,1.58506,151.03989,30.438343,108.29394,61.794006,-8.830241,11.895604,-11.4416,-0.296164,2.36792,0.0562994,-0.153415,-0.0140682,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER2_05_01,15790,457.561,71.8456,222.983,0.00193318,0.777471,1.58531,151.03212,30.47516,108.29412,61.803707,-8.825917,11.8863945,-10.8858,-1.15938,2.62541,0.0253029,-0.142429,-0.0290192,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER2_05_01,15791,457.563,71.8447,222.979,0.00193104,0.777474,1.58555,151.02534,30.511974,108.294304,61.812923,-8.8212,11.877579,-9.72858,-0.561683,0.814761,0.107996,-0.182154,-0.0519287,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
