NodeName,Index,TCP_x,TCP_y,TCP_z,TCP_Rx,TCP_Ry,TCP_Rz,FLANGE_x,FLANGE_y,FLANGE_z,FLANGE_Rx,FLANGE_Ry,FLANGR_Rz,RawDataSensor0,RawDataSensor1,RawDataSensor2,RawDataSensor3,RawDataSensor4,RawDataSensor5,SPI0-0,SPI0-1,SPI0-2,SPI0-3,SPI0-4,SPI0-5,SPI0-6,SPI0-7,SPI1-0,SPI1-1,SPI1-2,SPI1-3,SPI1-4,SPI1-5,SPI1-6,SPI1-7,
Start,22,460.006,-73.5584,223.474,3.13965,2.36297,-1.8248,484.719,-212.056,345.038,1.13298,-3.06423,0.0549503,-17.5692,-24.5668,9.50114,1.25878,-1.02089,-0.129409,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,23,460.006,-73.5584,223.474,3.13965,2.36297,-1.8248,484.719,-212.056,345.038,1.13298,-3.06423,0.0549503,-17.5692,-24.5668,9.50114,1.25878,-1.02089,-0.129409,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,24,460.001,-73.5911,223.518,3.13946,2.36296,-1.8245,484.726,-212.06,345.031,1.13303,-3.06419,0.054931,-18.5975,-25.6543,9.72021,1.35955,-1.05493,-0.00377296,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,25,460.007,-73.6048,223.534,3.13936,2.36297,-1.82436,484.729,-212.063,345.028,1.13305,-3.06417,0.0549209,-19.8413,-26.3339,10.3696,1.37537,-1.12273,-0.0247736,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,26,460.044,-73.6294,223.558,3.13916,2.36303,-1.82414,484.736,-212.067,345.021,1.1331,-3.06412,0.0549002,-20.7041,-26.9856,9.99481,1.35403,-1.15911,-0.0557318,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,27,460.071,-73.647,223.566,3.1391,2.36306,-1.82407,484.74,-212.07,345.018,1.13312,-3.0641,0.0548896,-20.8332,-26.6847,9.39186,1.35439,-1.09538,0.0113603,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,28,460.102,-73.669,223.567,3.13905,2.36309,-1.82402,484.743,-212.072,345.014,1.13314,-3.06408,0.0548789,-20.7634,-26.1202,9.28591,1.34948,-1.03893,0.0366936,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,29,460.102,-73.669,223.567,3.13905,2.36309,-1.82402,484.743,-212.072,345.014,1.13314,-3.06408,0.0548789,-20.7634,-26.1202,9.28591,1.34948,-1.03893,0.0366936,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,30,460.134,-73.6885,223.563,3.13903,2.36312,-1.82398,484.747,-212.074,345.011,1.13317,-3.06405,0.0548683,-20.9192,-25.4901,8.92416,1.31845,-1.01152,-0.0105688,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,31,460.203,-73.7289,223.55,3.13904,2.36318,-1.82398,484.754,-212.079,345.004,1.13322,-3.06401,0.0548472,-21.419,-24.0303,7.41417,1.24029,-1.0284,-0.0608073,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,32,460.235,-73.7367,223.54,3.13906,2.3632,-1.82398,484.757,-212.081,345.001,1.13324,-3.06398,0.0548367,-22.3001,-24.0312,7.18942,1.20907,-1.01245,-0.0132052,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,33,460.266,-73.7338,223.527,3.13909,2.36321,-1.82399,484.76,-212.084,344.997,1.13326,-3.06396,0.0548264,-23.6287,-24.2521,7.30478,1.21732,-0.990473,-0.00933619,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,34,460.266,-73.7338,223.527,3.13909,2.36321,-1.82399,484.76,-212.084,344.997,1.13326,-3.06396,0.0548264,-23.6287,-24.2521,7.30478,1.21732,-0.990473,-0.00933619,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,35,460.348,-73.7397,223.496,3.13917,2.3633,-1.82408,484.767,-212.088,344.991,1.13331,-3.06392,0.0548062,-27.0345,-25.2174,7.43573,1.27139,-1.05532,-0.0936455,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,36,460.402,-73.7567,223.476,3.13921,2.36335,-1.82417,484.77,-212.09,344.987,1.13333,-3.0639,0.0547964,-29.2433,-25.2697,7.44835,1.28046,-1.135,-0.0635606,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,37,460.446,-73.7728,223.456,3.13927,2.36339,-1.82426,484.773,-212.092,344.984,1.13335,-3.06388,0.0547867,-31.7961,-26.7194,7.44054,1.21161,-1.20991,-0.0152445,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,38,460.486,-73.7825,223.44,3.13934,2.36342,-1.82434,484.777,-212.094,344.981,1.13337,-3.06386,0.0547773,-32.7913,-27.6668,8.29322,1.21021,-1.30106,-0.00187446,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,39,460.518,-73.7878,223.421,3.13942,2.36344,-1.82441,484.78,-212.096,344.978,1.13339,-3.06384,0.0547681,-33.1714,-27.3513,8.62769,1.31202,-1.31023,-0.0238138,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,40,460.539,-73.7892,223.402,3.1395,2.36345,-1.82447,484.783,-212.098,344.975,1.13341,-3.06382,0.0547591,-32.4242,-27.6201,6.27054,1.35227,-1.26103,-0.0691556,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,41,460.555,-73.7896,223.387,3.13958,2.36345,-1.82452,484.785,-212.1,344.972,1.13343,-3.0638,0.0547503,-30.4426,-27.9116,4.19684,1.31441,-1.22131,-0.100474,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,42,460.555,-73.7896,223.387,3.13958,2.36345,-1.82452,484.785,-212.1,344.972,1.13343,-3.0638,0.0547503,-30.4426,-27.9116,4.19684,1.31441,-1.22131,-0.100474,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,43,460.564,-73.7862,223.346,3.13978,2.3634,-1.82462,484.794,-212.106,344.964,1.13349,-3.06374,0.0547255,-27.8055,-25.5292,1.76224,1.21542,-1.18615,-0.0969827,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,44,460.564,-73.7862,223.346,3.13978,2.3634,-1.82462,484.794,-212.106,344.964,1.13349,-3.06374,0.0547255,-27.8055,-25.5292,1.76224,1.21542,-1.18615,-0.0969827,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,45,460.547,-73.7724,223.317,3.13987,2.36333,-1.82462,484.799,-212.109,344.959,1.13353,-3.06371,0.0547101,-27.215,-24.7115,3.69651,1.19366,-1.22556,-0.0677629,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,46,460.534,-73.7676,223.303,3.13992,2.3633,-1.82463,484.801,-212.111,344.957,1.13354,-3.0637,0.0547028,-27.1441,-24.6308,3.25103,1.20416,-1.22103,-0.0510278,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,47,460.52,-73.7684,223.286,3.13997,2.36326,-1.82466,484.803,-212.112,344.955,1.13356,-3.06368,0.0546957,-26.7257,-24.4533,2.89176,1.21861,-1.22328,-0.0608162,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,48,460.502,-73.7657,223.269,3.14001,2.36322,-1.82468,484.806,-212.114,344.952,1.13357,-3.06367,0.0546888,-26.7696,-24.8456,3.67423,1.19365,-1.20319,-0.0732346,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,49,460.478,-73.7707,223.248,3.14006,2.36317,-1.82471,484.808,-212.115,344.95,1.13359,-3.06365,0.0546822,-26.2046,-25.5795,4.165,1.16634,-1.20294,-0.0936208,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,50,460.452,-73.7678,223.23,3.14011,2.36312,-1.82472,484.81,-212.117,344.948,1.1336,-3.06364,0.0546758,-25.6603,-25.7461,3.83462,1.19571,-1.19836,-0.113825,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,51,460.424,-73.7621,223.211,3.14015,2.36306,-1.82472,484.812,-212.118,344.946,1.13362,-3.06362,0.0546696,-25.1373,-26.2206,3.98826,1.22564,-1.19208,-0.101446,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,52,460.39,-73.754,223.191,3.14017,2.36299,-1.82471,484.814,-212.119,344.944,1.13363,-3.06361,0.0546636,-24.922,-26.4106,4.97186,1.24154,-1.18669,-0.0726113,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,53,460.355,-73.7431,223.172,3.14019,2.36292,-1.82469,484.816,-212.121,344.942,1.13364,-3.0636,0.0546579,-24.7295,-26.77,5.26985,1.21981,-1.19572,-0.0769321,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,54,460.318,-73.7308,223.154,3.1402,2.36286,-1.82466,484.818,-212.122,344.941,1.13366,-3.06359,0.0546524,-24.3208,-26.7794,4.64857,1.20004,-1.21427,-0.0956641,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,55,460.279,-73.72,223.136,3.14021,2.36279,-1.82463,484.819,-212.123,344.939,1.13367,-3.06357,0.054647,-23.8691,-26.7585,4.48405,1.1954,-1.22084,-0.103193,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,56,460.242,-73.7124,223.123,3.14023,2.36272,-1.82461,484.821,-212.124,344.937,1.13368,-3.06356,0.0546419,-23.3537,-27.291,5.01629,1.19024,-1.2042,-0.0986457,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,57,460.242,-73.7124,223.123,3.14023,2.36272,-1.82461,484.821,-212.124,344.937,1.13368,-3.06356,0.0546419,-23.3537,-27.291,5.01629,1.19024,-1.2042,-0.0986457,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,58,460.204,-73.6989,223.112,3.14024,2.36266,-1.82458,484.823,-212.125,344.936,1.13369,-3.06355,0.054637,-22.8034,-27.9285,5.52254,1.20835,-1.18177,-0.0743432,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,59,460.122,-73.6731,223.094,3.14029,2.36252,-1.82448,484.826,-212.127,344.933,1.13371,-3.06353,0.0546277,-21.6653,-28.6844,6.62505,1.28528,-1.17174,-0.0885207,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,60,460.047,-73.6436,223.083,3.14033,2.36239,-1.82439,484.829,-212.129,344.93,1.13373,-3.06351,0.0546191,-21.3874,-28.2323,6.77941,1.26002,-1.15138,-0.103127,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,61,460.011,-73.6245,223.084,3.14035,2.36233,-1.82432,484.83,-212.13,344.928,1.13374,-3.06351,0.0546151,-21.5707,-28.0009,6.53543,1.20333,-1.15339,-0.077512,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,62,460.011,-73.6245,223.084,3.14035,2.36233,-1.82432,484.83,-212.13,344.928,1.13374,-3.06351,0.0546151,-21.5707,-28.0009,6.53543,1.20333,-1.15339,-0.077512,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,63,459.943,-73.5865,223.093,3.1404,2.36223,-1.82418,484.832,-212.132,344.926,1.13376,-3.06349,0.0546075,-22.7263,-27.0269,6.91445,1.20801,-1.20648,-0.0801739,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,64,459.913,-73.5683,223.102,3.14042,2.36219,-1.8241,484.834,-212.133,344.925,1.13377,-3.06348,0.0546039,-23.0671,-27.2644,7.01057,1.22388,-1.2395,-0.100623,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,65,459.913,-73.5683,223.102,3.14042,2.36219,-1.8241,484.834,-212.133,344.925,1.13377,-3.06348,0.0546039,-23.0671,-27.2644,7.01057,1.22388,-1.2395,-0.100623,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,66,459.858,-73.5376,223.124,3.14046,2.36211,-1.82395,484.836,-212.134,344.923,1.13378,-3.06347,0.0545972,-23.2039,-27.3824,8.62343,1.25354,-1.23393,-0.0608671,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,67,459.832,-73.5247,223.136,3.14047,2.36207,-1.82387,484.837,-212.135,344.922,1.13379,-3.06346,0.0545941,-23.0622,-27.0487,8.21265,1.24595,-1.20494,-0.0556793,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,68,459.81,-73.5151,223.148,3.14047,2.36205,-1.82378,484.838,-212.135,344.921,1.1338,-3.06345,0.0545911,-22.6499,-26.4707,7.79236,1.22184,-1.18425,-0.0859801,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,69,459.79,-73.5045,223.16,3.14046,2.36202,-1.82369,484.839,-212.136,344.92,1.1338,-3.06345,0.0545882,-22.4418,-26.0474,7.87759,1.18241,-1.15878,-0.105134,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,70,459.777,-73.4966,223.175,3.14046,2.362,-1.82361,484.84,-212.137,344.919,1.13381,-3.06344,0.0545854,-21.9984,-25.6492,7.90797,1.16073,-1.15211,-0.0875444,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,71,459.764,-73.4902,223.188,3.14045,2.36198,-1.82354,484.841,-212.137,344.918,1.13381,-3.06344,0.0545828,-22.0701,-25.1336,7.83763,1.17104,-1.13663,-0.0578575,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,72,459.753,-73.4834,223.201,3.14044,2.36197,-1.82345,484.841,-212.138,344.917,1.13382,-3.06343,0.0545803,-22.1558,-25.0684,7.86585,1.1801,-1.12984,-0.0487331,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,73,459.753,-73.4834,223.201,3.14044,2.36197,-1.82345,484.841,-212.138,344.917,1.13382,-3.06343,0.0545803,-22.1558,-25.0684,7.86585,1.1801,-1.12984,-0.0487331,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,74,459.735,-73.4805,223.222,3.1404,2.36196,-1.82331,484.843,-212.139,344.916,1.13383,-3.06342,0.0545756,-22.4829,-25.7669,8.87963,1.17844,-1.11415,-0.0691539,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,75,459.735,-73.4793,223.235,3.14039,2.36196,-1.82326,484.844,-212.139,344.915,1.13384,-3.06342,0.0545733,-22.6109,-26.2695,9.04741,1.18995,-1.09328,-0.0533045,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,76,459.734,-73.4803,223.245,3.14038,2.36197,-1.82322,484.844,-212.14,344.914,1.13384,-3.06341,0.0545712,-22.7782,-26.7703,9.37074,1.21143,-1.06557,-0.0355275,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,77,459.744,-73.4877,223.255,3.14036,2.36199,-1.82317,484.846,-212.141,344.913,1.13385,-3.0634,0.0545673,-23.2107,-27.3711,10.0424,1.24506,-1.03773,-0.0470753,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,78,459.749,-73.4906,223.257,3.14035,2.36199,-1.82315,484.846,-212.141,344.912,1.13385,-3.0634,0.0545654,-23.1915,-27.149,9.76918,1.24753,-1.05881,-0.0465431,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,79,459.755,-73.4948,223.258,3.14034,2.362,-1.82314,484.847,-212.141,344.912,1.13386,-3.06339,0.0545637,-23.5721,-26.7069,9.53883,1.23454,-1.06662,-0.0281751,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,80,459.762,-73.4993,223.259,3.14034,2.36201,-1.82315,484.847,-212.142,344.911,1.13386,-3.06339,0.054562,-23.9522,-26.4681,9.1496,1.20585,-1.06491,-0.0128959,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,81,459.772,-73.5041,223.257,3.14034,2.36203,-1.82316,484.848,-212.142,344.911,1.13387,-3.06339,0.0545604,-24.3201,-26.3249,8.83611,1.18964,-1.05696,-0.0193787,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,82,459.772,-73.5041,223.257,3.14034,2.36203,-1.82316,484.848,-212.142,344.911,1.13387,-3.06339,0.0545604,-24.3201,-26.3249,8.83611,1.18964,-1.05696,-0.0193787,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,83,459.786,-73.5085,223.257,3.14034,2.36206,-1.82317,484.849,-212.143,344.91,1.13387,-3.06338,0.0545574,-24.7361,-26.8982,8.71595,1.21407,-1.06938,-0.042801,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,84,459.786,-73.5085,223.257,3.14034,2.36206,-1.82317,484.849,-212.143,344.91,1.13387,-3.06338,0.0545574,-24.7361,-26.8982,8.71595,1.21407,-1.06938,-0.042801,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,85,459.8,-73.5143,223.258,3.14035,2.36209,-1.8232,484.85,-212.143,344.909,1.13388,-3.06338,0.0545547,-25.5657,-27.7668,9.14876,1.25605,-1.11299,-0.0366248,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,86,459.8,-73.5143,223.258,3.14035,2.36209,-1.8232,484.85,-212.143,344.909,1.13388,-3.06338,0.0545547,-25.5657,-27.7668,9.14876,1.25605,-1.11299,-0.0366248,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,87,459.807,-73.5198,223.255,3.14035,2.3621,-1.82323,484.851,-212.144,344.908,1.13388,-3.06337,0.0545522,-26.3173,-27.7775,8.91487,1.25333,-1.1555,-0.0509165,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,88,459.807,-73.5198,223.255,3.14035,2.3621,-1.82323,484.851,-212.144,344.908,1.13388,-3.06337,0.0545522,-26.3173,-27.7775,8.91487,1.25333,-1.1555,-0.0509165,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,89,459.804,-73.5159,223.256,3.14035,2.36211,-1.82322,484.851,-212.145,344.907,1.13389,-3.06337,0.0545499,-26.2552,-27.2575,7.8036,1.23144,-1.17008,-0.0412837,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,90,459.804,-73.5159,223.256,3.14035,2.36211,-1.82322,484.851,-212.145,344.907,1.13389,-3.06337,0.0545499,-26.2552,-27.2575,7.8036,1.23144,-1.17008,-0.0412837,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,91,459.8,-73.5135,223.259,3.14033,2.36211,-1.8232,484.852,-212.145,344.907,1.13389,-3.06336,0.0545489,-26.0613,-26.9321,7.32917,1.2356,-1.16641,-0.0441653,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,92,459.79,-73.5112,223.265,3.1403,2.36211,-1.82317,484.852,-212.145,344.906,1.1339,-3.06336,0.0545469,-25.0465,-26.8321,6.06645,1.26635,-1.19484,-0.0571587,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,93,459.774,-73.5094,223.272,3.14026,2.3621,-1.82313,484.853,-212.146,344.906,1.1339,-3.06335,0.0545451,-23.9616,-26.9459,5.15407,1.30712,-1.22393,-0.0531713,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,94,459.77,-73.5079,223.279,3.14023,2.3621,-1.8231,484.853,-212.146,344.905,1.1339,-3.06335,0.0545443,-23.6363,-26.943,5.2125,1.31211,-1.21503,-0.0452151,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,95,459.77,-73.5079,223.279,3.14023,2.3621,-1.8231,484.853,-212.146,344.905,1.1339,-3.06335,0.0545443,-23.6363,-26.943,5.2125,1.31211,-1.21503,-0.0452151,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,96,459.757,-73.5041,223.286,3.14019,2.36211,-1.82306,484.854,-212.147,344.905,1.13391,-3.06335,0.0545427,-22.9931,-27.089,5.15144,1.30164,-1.19115,-0.0460581,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,97,459.751,-73.5026,223.29,3.14017,2.36211,-1.82304,484.854,-212.148,344.906,1.13391,-3.06335,0.0545416,-22.6615,-27.085,5.1667,1.30856,-1.18826,-0.0505436,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,98,459.746,-73.5017,223.294,3.14015,2.36211,-1.82302,484.855,-212.151,344.908,1.13391,-3.06335,0.0545403,-22.4789,-27.2014,5.28992,1.31178,-1.1856,-0.0493532,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,99,459.742,-73.5011,223.295,3.14013,2.36211,-1.82301,484.856,-212.154,344.91,1.13391,-3.06335,0.0545387,-22.4428,-27.507,5.53711,1.30702,-1.18121,-0.0458334,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
